household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
100001.734,99998.26349681111,100060.25,99939.55320788219,100001.199,99998.79491322047,100023.75,99976.2334674915,100000.31,99999.68841246443,100000.14,99999.85928118901,100000.291,99999.70750219816,100000.17300000001,99999.82610718493,100000.065,99999.93466409264,100000.18,99999.81906849328,1.0051803504136398
100041.75,99958.13065255038,100119.75000000001,99879.57081069167,100003.447,99996.53971440309,100002.319,99997.66381816103,100000.661,99999.33392000369,100000.29,99999.70778645038,100000.541,99999.45500799424,100000.321,99999.67662886504,100000.20000000001,99999.79831448937,100000.40500000001,99999.59181674638,1.0100144532815258
100056.25,99943.47918949288,100005.17300000001,99994.79485169105,100180.25,99818.29735209858,100003.5,99996.46554308833,100001.01000000001,99998.97979902312,100000.35,99999.64690531793,100000.79299999999,99999.1993048842,100000.471,99999.52442282764,100000.265,99999.73235812144,100000.62,99999.37365157326,1.0147281722135293
100073.5,99925.96621533182,100239.50000000001,99758.00184841093,100004.484,99995.46239603749,100001.34999999999,99998.63316960032,100006.90400000001,99993.0364780819,100000.45,99999.54495416107,100001.021,99998.96685399176,100000.63500000001,99999.35721937015,100000.385,99999.61001310057,100001.01000000001,99998.97602425814,1.0195689779263533
100087.75,99911.43123181898,100299.5,99696.66109668677,100005.376,99994.54881753355,100008.593,99991.31288755586,100002.643,99997.30880467256,100001.3,99998.67427999162,100001.47300000001,99998.50384232811,100000.6,99999.39307248642,100000.47,99999.52294111771,100001.47499999999,99998.49968152671,1.0244070917907502
100103,99895.80195798454,100362.25,99632.19402723426,100003.15,99996.78692457275,100006.267,99993.63170539888,100010.527,99989.32977795108,100001.51,99998.45811203096,100001.173,99998.81265287458,100000.296,99999.70599489029,100000.545,99999.44574039211,100001.095,99998.89082832467,1.0293220556981708
100126.25,99871.85367459789,100010.73899999999,99989.11125845874,100432.25,99559.89040654368,100007.21299999999,99992.65250782107,100003.51,99996.41427674281,100001.68,99998.28213666532,99999.828,100000.20487981346,99998.868,100001.18401406985,100000.67,99999.31636698577,99999.77,100000.26213739846,1.0349093845975559
100150,99847.25717077404,100010.747,99989.10296745143,100520,99468.70982746928,100008.10399999999,99991.72422075509,100003.968,99995.93709085841,100001.90000000001,99998.05291609209,99998.144,100001.95938231803,99995.42,100004.775817273,100000.73000000001,99999.2538709398,99997.38,100002.75138985559,1.0414538204041992
100174.625,99821.59248002718,100616.75,99367.50763989074,100010.773,99989.0758497259,100009.004,99990.78004718835,100004.701,99995.16807626949,100002.35999999999,99997.57029757652,99995.878,100004.3366742884,99990.273,100010.17440559661,100000.86499999999,99999.11229334892,99994.30500000001,100005.97592840866,1.0485337144935767
100206.5,99788.13848638869,100727.75,99250.50708398187,100010.237,99989.47599865535,100005.53,99994.29125276467,100010.857,99988.98760402943,100002.76999999999,99997.13662923596,99993.448,100006.90679611565,99983.72700000001,100017.09599808938,100000.93000000001,99999.04357723189,99992.515,100007.86816625614,1.057059134313712
100240.53,99752.12986395892,100011.249,99988.57238138371,100011.902,99987.70250880822,100819,99153.58355319613,100006.648,99993.10030474032,99990.722,100009.81056500471,100003.01,99996.88095905715,99976.253,100025.0549411075,100001.05,99998.91581955197,99989.34,100011.2481094816,1.0644469109420285
100276.28,99714.03473243883,100911,99055.16575228107,100011.72799999999,99988.06140048853,100013.29800000001,99986.20489434036,100003.22,99996.65565589386,99988.647,100012.03664888129,99971.335,100030.3299090001,100001.13,99998.83002542715,99987.08499999999,100013.66627184725,100007.112,99992.60250221557,1.0722824748220783
100011.739,99988.04958244872,100014.67899999999,99984.7106469975,100308.28,99679.68835867962,100007.5,99992.1826620875,100003.48,99996.37431417109,99986.82400000001,100014.00919325705,101026.75,98930.36916059454,100001.21500000001,99998.7380895255,99965.632,100036.49932296868,99984.805,100016.13215233618,1.08145142246204
100340.286,99645.04164860694,100007.888,99991.75780057054,100004.08,99995.71729192995,100011.767,99988.01924265752,101197.25,98744.65595310267,100015.754,99983.53357057454,99985.518,100015.43928072386,99960.27799999999,100042.360828079,100001.335,99998.60673580889,99982.87,100018.2501132198,1.0944885299997267
100368.28,99614.37623227708,100016.83899999999,99982.33408558677,100008.26,99991.34653012155,100011.90699999999,99987.86575039076,100004.59999999999,99995.14238196095,99984.428,100016.64435931247,99955.34599999999,100047.81252122368,100001.4,99998.53489741693,101331.75,98596.5823199515,99981.31499999999,100019.96862975237,1.1051024131851148
100395.03,99584.79037480058,100018.38799999999,99980.60275904802,99983.292,100017.91417595022,100005.25,99994.41580340794,100008.70899999999,99990.84464909376,99950.87000000001,100052.81490827662,100001.54000000001,99998.37845412658,100012.01699999999,99987.74398822089,101487.75,98423.06671047785,99980.33,100021.06929124912,1.1173887620381018
100412.53,99565.22547094336,100012.13799999999,99987.60863704354,101636.25,98256.18559595004,100019.35399999999,99979.51213928523,100006.03,99993.53511094807,100009.073,99990.43367391174,99982.59199999999,100018.70454294614,99947.658,100056.44112219123,99980.015,100021.42487550633,100001.605,99998.30507902647,1.128827846365553
100433.03,99542.06972821357,100020.851,99977.80407351916,100011.971,99987.12662294306,101786.25,98085.84411524718,100012.651,99987.02879954544,100006.23,99993.30685894389,99982.652,100018.63606678782,99947.267,100056.88735386806,100001.735,99998.15671676499,99980.56,100020.80288211947,1.141291731718975
100456.53000000001,99515.22963650119,100021.874,99976.62408807148,100013.40400000001,99986.16812132757,101930.45000000001,97920.27214399021,100013.63799999999,99985.20364914145,100006.56,99992.92616235053,99982.968,100018.27151355045,99947.308,100056.84005370793,100001.81,99998.07019176608,99981.245,100020.01260156803,1.1537190979645018
