household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
100023.75,99976.19345946623,100001.734,99998.25743118349,100001.199,99998.780026001,100000.31,99999.68452918172,100060.25,99939.073721258,100000.14,99999.85752284016,100000.17300000001,99999.82392304088,100000.291,99999.70383816944,100000.065,99999.93384232861,100000.18,99999.81678961235,1.0178539708921948
100041.75,99957.83875589464,100003.447,99996.507194321,100002.319,99997.62145578918,100119.75000000001,99877.9018552017,100000.661,99999.32138722573,100000.29,99999.70232606154,100000.541,99999.44516634721,100000.321,99999.67078312242,100000.20000000001,99999.79414986816,100000.40500000001,99999.58396031868,1.0348205455297392
100056.25,99942.81169263217,100005.17300000001,99994.71549822995,100180.25,99814.69839684688,100003.5,99996.37987925648,100001.01000000001,99998.9544285535,100000.35,99999.63923596482,100000.471,99999.51304633207,100000.79299999999,99999.18017946323,100000.265,99999.72579575198,100000.62,99999.3578594423,1.0516551698474617
100073.5,99924.63849271362,100006.90400000001,99992.8883004735,100239.50000000001,99751.76138461665,100004.484,99995.32813756027,100001.34999999999,99998.59097212189,100000.45,99999.53233215112,100001.021,99998.9364305017,100000.63500000001,99999.33771102519,100000.385,99999.59749785754,100001.01000000001,99998.94086929604,1.0692486218698285
100087.75,99909.37921509548,100008.593,99991.0766886825,100299.5,99686.99195735001,100005.376,99994.35912058142,100002.643,99997.18601209197,100001.3,99998.60852485218,100001.47300000001,99998.44511569936,100000.6,99999.375756967,100000.47,99999.50510008856,100001.47499999999,99998.43537016121,1.087147620164938
100103,99892.77381026205,100362.25,99618.07662690623,100010.527,99988.96701675863,100006.267,99993.37402938177,100003.15,99996.62538957612,100001.173,99998.77686687131,100001.51,99998.37629683397,100000.296,99999.7119101365,100000.545,99999.42216956025,100001.095,99998.85553802912,1.1056607347136342
100126.25,99867.00419800077,100010.73899999999,99988.73146110469,100432.25,99539.71889787071,100007.21299999999,99992.307101678,100003.51,99996.21931425847,100001.68,99998.18452825073,99999.828,100000.29390546077,99998.868,100001.32209099966,100000.67,99999.2812418564,99999.77,100000.349181377,1.127119424421979
100150,99840.16744441568,100010.747,99988.7223984976,100520,99439.37617952809,100003.968,99995.69052339614,100008.10399999999,99991.2785331791,99998.144,100002.2380290781,100001.90000000001,99997.93050540086,99995.42,100005.30050170224,100000.73000000001,99999.21203716192,99997.38,100003.10514540385,1.1528271165227837
100174.625,99811.70381938737,100010.773,99988.69226577865,100009.004,99990.21329791291,100616.75,99326.06720228113,100004.701,99994.82279429906,100002.35999999999,99997.3858843908,99995.878,100004.92035244023,99990.273,100011.38822945328,100000.86499999999,99999.05244994732,99994.30500000001,100006.73902593968,1.181354800742654
