household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
100023.75,99976.25,100060.25,99939.75,100001.734,99998.266,100001.199,99998.801,100000.31,99999.69,100000.14,99999.86,100000.291,99999.709,100000.17300000001,99999.82699999999,100000.065,99999.935,100000.18,99999.82,1.0177749833836227
100003.447,99996.553,100002.319,99997.681,100119.75000000001,99880.24999999999,100041.75,99958.25,100000.661,99999.339,100000.29,99999.71,100000.541,99999.459,100000.321,99999.679,100000.20000000001,99999.79999999999,100000.40500000001,99999.59499999999,1.0345225931699449
100056.25,99943.75,100180.25,99819.75,100005.17300000001,99994.82699999999,100003.5,99996.5,100001.01000000001,99998.98999999999,100000.35,99999.65,100000.79299999999,99999.20700000001,100000.471,99999.529,100000.265,99999.735,100000.62,99999.38,1.0510047975053218
100073.5,99926.5,100006.90400000001,99993.09599999999,100239.50000000001,99760.49999999999,100004.484,99995.516,100001.34999999999,99998.65000000001,100000.45,99999.55,100001.021,99998.979,100000.63500000001,99999.36499999999,100000.385,99999.615,100001.01000000001,99998.98999999999,1.068089574336497
100008.593,99991.407,100002.643,99997.357,100087.75,99912.25,100001.3,99998.7,100001.47300000001,99998.52699999999,100000.6,99999.4,100299.5,99700.5,100005.376,99994.624,100000.47,99999.53,100001.47499999999,99998.52500000001,1.085327427686058
100362.25,99637.75,100010.527,99989.473,100006.267,99993.733,100103,99897,100003.15,99996.85,100001.51,99998.49,100001.173,99998.827,100000.296,99999.704,100000.545,99999.455,100001.095,99998.905,1.1030080691368107
100126.25,99873.75,100432.25,99567.75,100010.73899999999,99989.26100000001,100007.21299999999,99992.78700000001,100003.51,99996.49,100001.68,99998.32,99999.828,100000.172,99998.868,100001.132,100000.67,99999.33,99999.77,100000.23,1.1233176158285685
100150,99850,100520,99480,100008.10399999999,99991.89600000001,100010.747,99989.253,100003.968,99996.032,100001.90000000001,99998.09999999999,99998.144,100001.856,99995.42,100004.58,100000.73000000001,99999.26999999999,99997.38,100002.62,1.147395740447283
100174.625,99825.375,100010.773,99989.227,100616.75,99383.25,100009.004,99990.996,100004.701,99995.299,100002.35999999999,99997.64000000001,99995.878,100004.122,99990.273,100009.727,100000.86499999999,99999.13500000001,99994.30500000001,100005.69499999999,1.1738029356339126
100206.5,99793.5,100010.857,99989.143,100727.75,99272.25,100010.237,99989.763,100005.53,99994.47,100002.76999999999,99997.23000000001,99993.448,100006.552,99983.72700000001,100016.27299999999,100000.93000000001,99999.06999999999,99992.515,100007.485,1.2061088035213026
