household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
1000023.75,999976.2215842252,1000001.7339999999,999998.2626279563,1000060.25,999939.5229620036,1000001.199,999998.7943091717,1000000.3099999999,999999.6882562761,1000000.14,999999.8592106507,1000000.291,999999.7073555768,1000000.173,999999.8260200163,1000000.0650000001,999999.934631341,10990000.18,10989999.818977796,1.005181639844962
1000041.75,999958.1096946581,1000003.447,999996.5379809954,1000119.75,999879.5104797033,1000002.3189999999,999997.6626458203,1000000.6610000001,999999.3335857032,1000000.2899999999,999999.7076397939,1000000.541,999999.4547345072,1000000.321,999999.6764665906,1000000.2000000001,999999.7982132281,10990000.405000001,10989999.591611866,1.010016937346193
1000056.25,999943.4508698356,1000005.173,999994.7922411956,1000003.5,999996.4637673475,1000180.25,999818.2062196991,1000001.01,999998.9792863964,1000000.35,999999.646728003,1000000.471,999999.5241839048,1000000.793,999999.1989026302,1000000.265,999999.7322236456,10990000.620000001,10989999.373336826,1.0147318130612728
1000073.5,999925.9290763589,1000006.904,999993.0329816565,1000239.5,999757.8803360455,1000004.484,999995.460114011,1000001.35,999998.6324820259,1000000.4500000001,999999.5447253898,1000001.0210000001,999998.9663344158,1000000.635,999999.3568960562,1000000.385,999999.6098168744,10990001.010000002,10989998.975508818,1.0195737984186364
1000087.75,999911.3867566353,1000299.5,999696.5086106902,1000005.3759999999,999994.5460734235,1000002.643,999997.3074472244,1000008.5929999999,999991.3085208366,1000001.2999999999,999998.673610811,1000001.473,999998.5030885435,1000000.6,999999.3926986923,1000000.4700000001,999999.5227008464,10990001.475,10989998.498832958,1.0244130873725485
1000103,999895.7495766962,1000362.25,999632.0089156834,1000010.527,999989.3244076439,1000006.267,999993.6284963451,1000003.1499999999,999996.7853025433,1000001.5099999999,999998.4573332566,1000001.173,999998.8115874061,1000000.5449999999,999999.4454609801,1000000.296,999999.7054669017,10990001.095,10989998.889694402,1.0293292677426775
1000126.25,999871.7891514354,1000432.2499999999,999559.6686143373,1000007.213,999992.6488010486,1000003.51,999996.4124652942,1000010.739,999989.1057772898,1000001.68,999998.2812684408,999999.828,1000000.2031301697,999998.8679999999,1000001.182759777,10989999.77,10990000.260329638,1000000.67,999999.3160218062,1.0349180483469615
1000150,999847.1801435339,1000010.747,999989.0974820649,1000520.0000000001,999468.4416544373,1000008.104,999991.7200406635,1000003.968,999995.9350360944,999998.144,1000001.9567628533,999995.4199999999,1000004.7728038016,1000000.73,999999.2534938883,1000001.8999999999,999998.0519309874,10989997.38,10990002.748363009,1.0414642502023037
1000174.625,999821.5023635357,1000010.773,999989.0703504998,1000616.75,999367.1878222367,1000009.0040000001,999990.7753840237,1000004.701,999995.165628041,1000002.36,999997.5690655364,999995.878,1000004.3328945558,999990.273,1000010.1687576987,1000000.865,999999.1118438416,10989994.305,10990005.97132819,1.0485461057519452
1000206.5,999788.0312478499,1000010.237,999989.4706656134,1000727.7499999999,999250.1273397122,1000010.857,999988.9820596002,1000005.53,999994.288354106,1000002.77,999997.1351744127,999993.448,1000006.9017472063,999983.727,1000017.0869869804,1000000.9299999999,999999.043092414,10989992.515,10990007.862540962,1.0570738099619195
