household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
1000023.75,999975.9958021665,1000001.7339999999,999998.2461196004,1000060.25,999938.9482860466,1000001.199,999998.7828319605,1000000.3099999999,999999.6852886211,1000000.14,999999.8578703897,1000000.291,999999.7045697018,1000000.173,999999.8243637722,1000000.0650000001,999999.9340090452,10990000.18,10989999.817254499,1.0052061384199604
1000041.75,999957.7114903041,1000119.75,999878.3641688764,1000003.447,999996.50504563,1000002.3189999999,999997.6403705423,1000000.6610000001,999999.3272337549,1000000.2899999999,999999.7048532175,1000000.541,999999.4495380679,1000000.321,999999.6733832653,1000000.2000000001,999999.7962891866,10990000.405000001,10989999.58771896,1.0100641325669675
1000056.25,999942.9127851338,1000180.25,999816.4746509306,1000003.5,999996.4300266618,1000001.01,999998.9695460114,1000005.173,999994.7426402823,1000000.35,999999.6433588745,1000000.793,999999.1912594454,1000000.265,999999.7296684802,1000000.471,999999.5196441555,10990000.620000001,10989999.367356338,1.0148009850487885
1000073.5,999925.2234128037,1000004.484,999995.4167530097,1000006.904,999992.9665468036,1000239.5,999755.5715041093,1000001.35,999998.6194173248,1000000.4500000001,999999.5403784991,1000001.0210000001,999998.9564619054,1000000.635,999999.3507527281,1000000.385,999999.6060883433,10990001.010000002,10989998.965714822,1.0196653807148526
1000087.75,999910.5416921242,1000299.5,999693.6112226394,1000005.3759999999,999994.4939318398,1000008.5929999999,999991.2255488005,1000002.643,999997.2816534779,1000001.2999999999,999998.6608951901,1000001.473,999998.4887655596,1000000.6,999999.3856025796,1000000.4700000001,999999.5181353654,10990001.475,10989998.482717436,1.024526992198027
1000103,999894.754279002,1000010.527,999989.2223651728,1000362.25,999628.4915684226,1000006.267,999993.5675196323,1000003.1499999999,999996.7544810667,1000001.5099999999,999998.4425350702,1000001.173,999998.79138563,1000000.296,999999.6954700958,1000000.5449999999,999999.440151722,10990001.095,10989998.86820186,1.0294662772056056
1000010.739,999989.0016281478,1000432.2499999999,999555.4542356681,1000007.213,999992.5783661632,1000003.51,999996.3780442795,1000126.25,999870.5631267328,1000001.68,999998.2647704289,999999.828,1000000.1700577294,999998.8679999999,1000001.1590997733,1000000.67,999999.3094627645,10989999.77,10990000.226160899,1.035082621970244
1000010.747,999988.9932527745,1000150,999845.7165031708,1000003.968,999995.895991211,1000520.0000000001,999463.3458934539,1000008.104,999991.6406110143,1000001.8999999999,999998.0332118304,999998.144,1000001.9073263381,999995.4199999999,1000004.7160501295,1000000.73,999999.2463291653,10989997.38,10990002.691260815,1.0416623476647364
1000174.625,999819.7899803183,1000010.773,999988.9658582069,1000616.75,999361.1106222037,1000009.0040000001,999990.6867739744,1000004.701,999995.1191056886,1000002.36,999997.5456535756,999995.878,1000004.2616310201,999990.273,1000010.0624449836,1000000.865,999999.1033021532,10989994.305,10990005.884627568,1.0487814281806633
1000206.5,999785.9934743032,1000727.7499999999,999242.9112760167,1000010.857,999988.8767082491,1000005.53,999994.2332714085,1000010.237,999989.3693246661,1000002.77,999997.1075284976,999993.448,1000006.8066057479,999983.727,1000016.9174049271,1000000.9299999999,999999.0338796567,10989992.515,10990007.756545944,1.0573524864455208
1000240.53,999749.614686494,1000011.249,999988.4572133161,1000819,999144.9905777576,1000011.902,999987.5775452602,1000006.6479999999,999993.0300409176,1000003.01,999996.8492214689,999990.7220000001,1000009.6825194219,999976.253,1000024.8000177077,1000001.05,999998.904803945,10989989.34,10990011.104076993,1.0647816900391094
1000276.2799999999,999711.126520204,1000011.728,999987.9409556362,1000013.298,999986.0644303032,1000911,999045.5565473236,1000007.112,999992.5270858957,1000003.22,999996.6215862818,999988.647,1000011.8871159528,999971.335,1000030.0245828704,1000001.13,999998.8181216101,10989987.085,10990013.499135243,1.072657796839185
