household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
1000023.75,999976.181556196,1000001.7339999999,999998.2565578287,1000001.199,999998.7794107721,1000060.25,999939.043180435,1000000.3099999999,999999.6843700717,1000000.14,999999.8574509786,1000000.291,999999.7036887913,1000000.173,999999.8238342286,1000000.0650000001,999999.9338089584,10990000.18,10989999.8166972,1.0178584632282468
1000041.75,999957.817594223,1000003.447,999996.5054365292,1000002.3189999999,999997.6202515203,1000119.75,999877.8403974562,1000000.6610000001,999999.3210434665,1000000.2899999999,999999.7021752832,1000000.541,999999.4448854339,1000000.321,999999.6706164363,1000000.2000000001,999999.7940454612,10990000.405000001,10989999.583749505,1.034829379308332
1000056.25,999942.7828890857,1000005.173,999994.7128279656,1000180.25,999814.6047453673,1000003.5,999996.378038741,1000001.01,999998.9538967239,1000000.35,999999.639052851,1000000.793,999999.1797627357,1000000.471,999999.5127987986,1000000.265,999999.72565631,10990000.620000001,10989999.35753274,1.051668379462298
1000073.5,999924.6003741833,1000239.5,999751.6354124023,1000004.484,999995.3257537292,1000006.904,999992.8846920307,1000001.35,999998.590252517,1000000.4500000001,999999.5320938049,1000001.0210000001,999998.9358878388,1000000.635,999999.3373729009,1000000.385,999999.5972921265,10990001.010000002,10989998.940327141,1.0692664766842843
1000008.5929999999,999991.0721428321,1000087.75,999909.3332119925,1000299.5,999686.8324649198,1000002.643,999997.1845609429,1000005.3759999999,999994.356232241,1000001.2999999999,999998.6078054294,1000001.473,999998.4443171603,1000000.6,999999.375365844,1000000.4700000001,999999.5048462343,10990001.475,10989998.434466908,1.0871702925815057
1000010.527,999988.9613703751,1000103,999892.7191579785,1000362.25,999617.8811770844,1000006.267,999993.3706238284,1000003.1499999999,999996.6236440511,1000001.5099999999,999998.3754554649,1000001.173,999998.7757395083,1000000.296,999999.7113594745,1000000.5449999999,999999.4218721531,10990001.095,10989998.854335884,1.1056885910022844
1000126.25,999866.9360113405,1000432.2499999999,999539.4821973247,1000010.739,999988.7256907176,1000007.213,999992.3031305118,1000003.51,999996.2173534394,1000001.68,999998.1835852056,999999.828,1000000.2920658509,999998.8679999999,1000001.3207844826,1000000.67,999999.2808697071,10989999.77,10990000.347278196,1.1271537111263998
1000150,999840.0850226028,1000010.747,999988.716623292,1000520.0000000001,999439.0861270813,1000003.968,999995.6882789247,1000008.104,999991.2740103205,1000001.8999999999,999997.9294260873,999998.144,1000002.2352773258,999995.4199999999,1000005.2973529554,1000000.73,999999.2116278684,10989997.38,10990003.101966418,1.1528695903879276
1000174.625,999811.606116546,1000616.75,999325.7161685581,1000010.773,999988.686474356,1000009.0040000001,999990.2081962093,1000004.701,999994.8200782643,1000002.36,999997.3845090837,999995.878,1000004.9163771189,999990.273,1000011.3823054291,1000000.865,999999.0519538522,10989994.305,10990006.73419097,1.1814068580451735
