household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
1000023.75,999964.2901891994,1000001.7339999999,999997.3830428246,1000060.25,999908.494105196,1000001.199,999998.1621728126,1000000.3099999999,999999.5247309323,1000000.291,999999.5538105468,1000000.14,999999.7853492565,1000000.173,999999.7347232924,10990000.18,10989999.723972788,1000000.0650000001,999999.9003262977,1.022350850800145
1000041.75,999936.6364971926,1000119.75,999816.239250337,1000003.447,999994.7436943575,1000002.3189999999,999996.4096486856,1000000.6610000001,999998.9753889256,1000000.2899999999,999999.5505715606,1000000.541,999999.1624954806,1000000.321,999999.5030524489,1000000.2000000001,999999.688997246,10990000.405000001,10989999.371742386,1.0436814708072302
1000056.25,999913.902892479,1000005.173,999992.0311383368,1000180.25,999720.5433365651,1000003.5,999994.5239920449,1000001.01,999998.4180330709,1000000.35,999999.4547453366,1000000.793,999998.7600112245,1000000.471,999999.2634655152,1000000.265,999999.5851731538,10990000.620000001,10989999.028313229,1.0649318275789723
1000073.5,999886.2989502975,1000006.904,999989.2532855904,1000239.5,999624.8529294669,1000004.484,999992.920040124,1000001.35,999997.863717981,1000000.4500000001,999999.2917012039,1000001.0210000001,999998.3882560728,1000000.635,999998.9960486963,1000000.385,999999.3894949057,10990001.010000002,10989998.39232144,1.0872312172973382
1000087.75,999863.025088671,1000299.5,999525.9834241893,1000008.5929999999,999986.4881306972,1000005.3759999999,999991.4362548289,1000002.643,999995.7123047651,1000001.2999999999,999997.876981127,1000001.473,999997.6358224096,1000000.6,999998.9923491592,1000000.4700000001,999999.2479866357,10990001.475,10989997.534892155,1.1100267511393578
1000103,999837.5927877994,1000010.527,999983.2544565955,1000362.25,999420.3403516948,1000006.267,999989.9212201445,1000003.1499999999,999994.8500471978,1000001.5099999999,999997.5197965723,1000001.173,999997.7161430956,1000000.296,999999.2221505414,1000000.5449999999,999999.1204272626,10990001.095,10989997.737095026,1.1338079392203109
1000126.25,999797.9543299229,1000003.51,999994.2223184855,1000001.68,999997.2233467713,1000010.739,999982.8916852761,999999.828,999998.758490314,1000432.2499999999,999299.6629071382,1000007.213,999988.272000196,999998.8679999999,1000000.3285511214,1000000.67,999998.902547633,10989999.77,10989998.763474338,1.1617753938492477
1000150,999756.4614597481,1000010.747,999982.8776557231,1000520.0000000001,999144.3252593454,1000008.104,999986.6722674588,1000003.968,999993.3998506153,1000001.8999999999,999996.828236364,999998.144,1000000.0925732156,999995.4199999999,1000003.0793453609,1000000.73,999998.7948846112,10989997.38,10990000.669200893,1.1957557653725694
1000174.625,999712.1761416248,1000010.773,999982.8307115565,1000616.75,998967.7994381074,1000004.701,999992.0408952563,1000009.0040000001,999985.0040782567,1000002.36,999995.9752683644,999995.878,1000001.9598707192,999990.273,1000007.3181033911,1000000.865,999998.5448707909,10989994.305,10990003.199696705,1.233975640497856
