household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
1000023.75,999976.238125,1000001.7339999999,999998.2651330001,1000060.25,999939.719875,1000001.199,999998.8004005,1000000.3099999999,999999.689845,1000000.14,999999.85993,1000000.291,999999.7088545,1000000.0650000001,999999.9349674999,1000000.173,999999.8269135001,10990000.18,10989999.81991,1.0177794271294687
1000041.75,999958.2291250001,1000003.447,999996.5512765,1000119.75,999880.190125,1000002.3189999999,999997.6798405,1000000.6610000001,999999.3386695001,1000000.2899999999,999999.709855,1000000.541,999999.4587295,1000000.321,999999.6788395,1000000.2000000001,999999.7999000001,10990000.405000001,10989999.594797501,1.0345312238182374
1000056.25,999943.721875,1000005.173,999994.8244135,1000180.25,999819.659875,1000001.01,999998.989495,1000003.5,999996.4982500001,1000000.793,999999.2066035001,1000000.35,999999.6498250001,1000000.471,999999.5287644999,1000000.265,999999.7348675,10990000.620000001,10989999.379689999,1.0510175487046982
1000073.5,999926.4632499999,1000006.904,999993.092548,1000239.5,999760.3802499999,1000004.484,999995.513758,1000001.35,999998.649325,1000000.4500000001,999999.549775,1000001.0210000001,999998.9784895,1000000.385,999999.6148075,1000000.635,999999.3646825,10990001.010000002,10989998.989495,1.0681065967300813
1000087.75,999912.2061249999,1000008.5929999999,999991.4027035,1000299.5,999700.35025,1000005.3759999999,999994.621312,1000002.643,999997.3556785,1000001.2999999999,999998.69935,1000001.473,999998.5262635,1000000.6,999999.3996330168,1000000.4700000001,999999.529765,10990001.475,10989998.524172522,1.0853487759087095
1000103,999896.9484999999,1000010.527,999989.4677365,1000362.25,999637.568875,1000006.267,999993.7298665,1000003.1499999999,999996.848425,1000001.5099999999,999998.489245,1000001.173,999998.8259586137,1000000.296,999999.7034810927,1000000.5449999999,999999.4547275001,10990001.095,10989998.90389264,1.1030339668561377
1000126.25,999873.686875,1000432.2499999999,999567.533875,1000007.213,999992.7833935,1000003.51,999996.488245,999999.828,1000000.1702864498,1000010.739,999989.2556304999,1000001.68,999998.3191600001,999998.8679999999,1000001.1307674495,10989999.77,10990000.22823047,1000000.67,999999.3296650001,1.1233490273007352
1000150,999849.925,1000010.747,999989.2476265,1000520.0000000001,999479.7400000001,1000008.104,999991.891948,1000003.968,999996.030016,1000001.8999999999,999998.09905,999995.4199999999,1000004.5770443111,999998.144,1000001.853434873,1000000.73,999999.2696349999,10989997.38,10990002.617036069,1.147433986558336
1000174.625,999825.2876875,1000010.773,999989.2216135,1000616.75,999382.941625,1000009.0040000001,999990.9914980001,1000004.701,999995.2966494999,999995.878,1000004.1183024392,1000002.36,999997.63882,999990.273,1000009.7214720972,1000000.865,999999.1345675001,10989994.305,10990005.690499337,1.1738489403826866
