household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
1000023.75,999958.4374999999,1000001.7339999999,999996.9655,1000060.25,999894.5625,1000001.199,999997.9017500001,1000000.3099999999,999999.4575,1000000.14,999999.755,1000000.291,999999.49075,1000000.173,999999.69725,1000000.0650000001,999999.88625,10990000.18,10989999.685,1.0244406021524814
1000041.75,999926.9375,1000003.447,999993.96775,1000119.75,999790.4375,1000002.3189999999,999995.94175,1000000.6610000001,999998.84325,1000000.2899999999,999999.4924999999,1000000.541,999999.05325,10990000.405000001,10989999.29125,1000000.321,999999.43825,1000000.2000000001,999999.65,1.0474685656086742
1000056.25,999901.5624999999,1000005.173,999990.94725,1000180.25,999684.5625,1000003.5,999993.875,1000001.01,999998.2325,1000000.35,999999.3875000001,1000000.793,999998.61225,1000000.471,999999.1757499999,1000000.265,999999.53625,10990000.620000001,10989998.915000001,1.0701315965698175
1000073.5,999871.375,1000006.904,999987.918,1000004.484,999992.153,1000239.5,999580.875,1000001.35,999997.6375000001,1000000.4500000001,999999.2125,1000000.635,999998.88875,1000001.0210000001,999998.21325,1000000.385,999999.32625,10990001.010000002,10989998.2325,1.0936231647126835
1000087.75,999846.4375,1000299.5,999475.875,1000008.5929999999,999984.96225,1000005.3759999999,999990.592,1000002.643,999995.37475,1000001.2999999999,999997.725,1000001.473,999997.42225,1000000.6,999998.8710357143,1000000.4700000001,999999.1775,10990001.475,10989997.312678572,1.1173445060708351
1000103,999819.75,1000010.527,999981.5777499999,1000362.25,999366.0625,1000006.267,999989.03275,1000003.1499999999,999994.4875,1000001.5099999999,999997.3575,1000001.173,999997.4110000001,1000000.296,999999.04475,1000000.5449999999,999999.04625,10990001.095,10989997.42375,1.1418078582471616
1000126.25,999779.0625,1000432.2499999999,999243.5625000001,1000007.213,999987.3772499999,1000010.739,999981.20675,1000003.51,999993.8575,1000001.68,999997.0599999999,999999.828,999998.1795714286,999998.8679999999,999999.86075,1000000.67,999998.8275,10989999.77,10989998.180892859,1.1702479021849455
1000150,999737.5,1000010.747,999981.19275,1000520.0000000001,999089.9999999999,1000008.104,999985.8180000001,1000003.968,999993.056,1000001.8999999999,999996.6749999999,999998.144,999999.1300714286,1000000.73,999998.7225,999995.4199999999,1000001.8310357142,10989997.38,10989999.546607142,1.2043162263250193
1000174.625,999694.40625,1000010.773,999981.1472499999,1000616.75,998920.6875,1000009.0040000001,999984.2429999999,1000004.701,999991.77325,1000002.36,999995.87,999995.878,1000000.4249285713,999990.273,1000004.7721785713,1000000.865,999998.4862500001,10989994.305,10990001.30375,1.241989877779793
1000206.5,999638.625,1000010.857,999981.00025,1000727.7499999999,998726.4375,1000005.53,999990.3224999999,1000010.237,999982.08525,1000002.77,999995.1525000001,999993.448,1000001.7911071429,999983.727,1000008.5127500001,1000000.9299999999,999998.3725,10989992.515,10990002.20875,1.2878702725136868
1000240.53,999579.0724999999,1000011.249,999980.3142499999,1000011.902,999979.1714999999,1000819,998566.75,1000006.6479999999,999988.366,1000003.01,999994.7325,999990.7220000001,1000003.3488214285,999976.253,1000012.7836071429,1000001.05,999998.1625,10989989.34,10990004.023035714,1.328813626467134
1000276.2799999999,999516.5099999999,1000011.728,999979.476,1000013.298,999976.7285,1000003.22,999994.365,999988.647,1000004.52275,999971.335,1000015.5938928571,1000911,998405.75,10989987.085,10990005.311607143,1000007.112,999987.554,1000001.13,999998.0225000001,1.3722889707010792
1000308.28,999460.51,1000014.679,999974.31175,1000007.5,999986.8749999999,1000011.739,999979.4567499999,1000003.48,999993.91,999986.824,1000005.5385357143,999965.632,1000018.8527500001,1000001.215,999997.87375,10989984.805,10990006.614464287,1001026.75,998203.1875,1.4239535965536572
1000340.286,999404.4995,1000011.767,999979.40775,1001197.25,997904.8125,1000015.754,999972.4305,1000007.888,999986.196,1000004.0800000001,999992.86,999985.5179999999,1000006.2270714286,999960.2779999999,1000021.9121785715,1000001.335,999997.6637500001,10989982.870000001,10990007.72017857,1.4984469011006682
1000368.2799999999,999355.51,1000011.907,999979.16275,1001331.75,997669.4375,1000016.839,999970.53175,1000008.26,999985.545,1000004.6,999991.9500000001,999984.4280000001,1000006.7332499999,999955.346,1000024.7304642857,1000001.4,999997.55,10989981.315,10990008.60875,1.560752834671139
1001487.7500000001,997396.4375,1000018.3879999999,999967.821,1000008.709,999984.75925,1000395.03,999308.6975,1000005.25,999990.8125,999983.292,1000007.3706071428,1000012.017,999978.97025,1000001.5399999999,999997.3049999999,10989980.33,10990009.171607142,999950.87,1000027.2881785715,1.6343820348634286
1000412.53,999278.0724999999,1001636.25,997136.5625,1000012.138,999978.7585000001,1000019.354,999966.1305000001,1000009.073,999984.12225,1000006.03,999989.4475,999982.5920000001,1000007.7706071428,999947.658,1000029.1236071428,1000001.605,999997.19125,10989980.015,10990009.31625,1.7044816881931548
1000433.03,999242.1975,1001786.25,996874.0625000001,1000012.6510000001,999977.86075,1000011.971,999979.05075,1000020.851,999963.51075,999982.652,1000007.6597142856,1000006.23,999989.0975,999947.2670000001,1000029.3470357143,1000001.735,999996.96375,10989980.56,10990008.3625,1.7822999057287223
1000456.53,999201.0725,1000013.404,999976.543,1001930.4500000001,996621.7125,1000021.874,999961.7204999999,1000013.638,999976.1335,1000006.56,999988.5199999999,999982.968,1000007.1067142857,999947.308,1000029.2411071428,1000001.81,999996.8324999999,10989981.245,10990007.163749998,1.8620561630832984
1000476.28,999166.51,1000022.946,999959.8445,1000014.8920000001,999973.939,1002049,996414.2500000001,1000014.991,999973.76575,999984.123,1000005.0854642858,1000006.7699999999,999988.1525,999947.4859999999,1000028.9296071428,1000001.9099999999,999996.6575,10989981.985000001,10990005.868749999,1.9316982358661012
1000493.78,999135.885,1000017.081,999970.10825,1002116.25,996296.5625,1000024.075,999957.86875,1000015.645,999972.62125,1000006.93,999987.8725,999984.8380000001,1000003.8342142857,999947.6440000001,1000028.6531071428,1000002.015,999996.47375,10989982.7,10990004.617500002,1.9767067292332021
1000513.5299999999,999101.3225,1000025.235,999955.83875,1000020.622,999963.9115,1002181.25,996182.8125,1000016.1699999999,999971.7025,1000007.07,999987.6275000001,999985.223,1000003.1604642858,999947.803,1000028.3748571428,1000002.1050000001,999996.3162499999,10989983.360000001,10990003.4625,2.0232598029760753
1000533.78,999065.885,1000023.247,999959.31775,1000026.4630000001,999953.6897499999,1002247,996067.75,1000016.513,999971.10225,1000007.21,999987.3825,999985.5229999999,1000002.6354642857,999947.982,1000028.0616071428,1000002.215,999996.1237499999,10989983.805,10990002.68375,2.0709694968949957
