household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
1000001.7339999999,999996.5245839554,1000060.25,999879.0166077606,1000023.75,999952.466934983,1000001.199,999997.5838230463,1000000.3099999999,999999.3752510478,1000000.14,999999.7178490583,1000000.291,999999.4135193331,1000000.173,999999.6513285573,1000000.0650000001,999999.8689947088,10990000.18,10989999.63721283,1.0077527076558077
1000041.75,999916.1687110543,1000119.75,999758.6774293706,1000002.3189999999,999995.3107065859,1000003.447,999993.0664077068,1000000.6610000001,999998.6628189933,1000000.2899999999,999999.4133833813,1000000.541,999998.9060684117,1000000.321,999999.3509119552,1000000.2000000001,999999.5949626171,10990000.405000001,10989999.180486096,1.0149615441953523
1000056.25,999886.7223335746,1000005.173,999989.5581498008,1000180.25,999635.4751062318,1000003.5,999992.8972146787,1000001.01,999997.9495465984,1000000.793,999998.3910239211,1000000.471,999999.0443320493,1000000.35,999999.290755069,1000000.265,999999.4621099216,10990000.620000001,10989998.741045846,1.0219667530017105
1000006.904,999986.0146127185,1000239.5,999513.9615637189,1000004.484,999990.8722247056,1000001.35,999997.2498084323,1000073.5,999851.4466853878,1000000.4500000001,999999.0849451047,1000001.0210000001,999997.9217713793,1000000.635,999998.7067934803,1000000.385,999999.2151272879,10990001.010000002,10989997.938337602,1.0291361888592074
1000087.75,999822.1040824522,1000008.5929999999,999982.533724332,1000299.5,999390.0773347231,1000005.3759999999,999989.0240983936,1000002.643,999994.570616188,1000001.2999999999,999997.3235078813,1000001.473,999996.9850433421,1000000.6,999998.6751884545,1000000.4700000001,999999.038967727,10990001.475,10989996.834727926,1.036283281642772
1000103,999790.4833552421,1000010.527,999978.5198724611,1000362.25,999259.5915116508,1000003.1499999999,999993.5124630535,1000001.5099999999,999996.8852042711,1000001.173,999996.8989470884,1000006.267,999987.1646256212,1000000.296,999998.8338127106,1000000.5449999999,999998.8824317146,10990001.095,10989996.892124433,1.0435641053479163
1000126.25,999741.9246628674,1000010.739,999978.0765126932,1000432.2499999999,999112.8976237358,1000007.213,999985.1742377974,1000003.51,999992.7549731098,999999.828,999997.6064745745,1000001.68,999996.5274916285,999998.8679999999,999999.5849557164,1000000.67,999998.6194367935,10989999.77,10989997.589052431,1.0519248861402344
1000150,999691.9235895714,1000010.747,999978.0596476119,1000520.0000000001,998927.4340200657,1000008.104,999983.2817072198,1000001.8999999999,999996.06015548,1000003.968,999991.7820954877,999998.144,999998.4848435145,999995.4199999999,1000001.4158570061,1000000.73,999998.4920089161,10989997.38,10989998.8579818,1.0617889501669056
1000174.625,999639.5929359985,1000010.773,999978.0043185309,1000009.0040000001,999981.3506069905,1000004.701,999990.2092091574,1000616.75,998720.9637489887,1000002.36,999995.0730245574,999995.878,999999.700507781,999990.273,1000004.1767241918,1000000.865,999998.202395289,10989994.305,10990000.50710913,1.0725031057239247
1000206.5,999571.1573908202,1000727.7499999999,998481.4489038441,1000010.857,999977.8236501747,1000010.237,999978.6735729792,1000005.53,999988.4091557547,1000002.77,999994.1827175748,999993.448,1000000.9887225201,999983.727,1000007.7297081609,1000000.9299999999,999998.0613025355,10989992.515,10990001.3156619,1.085249576636716
1000240.53,999497.2222117399,1000011.249,999976.9703635748,1000006.6479999999,999985.9563635531,1000819,998282.2882158265,1000011.902,999975.0211633792,1000003.01,999993.656143075,999990.7220000001,1000002.4839352086,999976.253,1000011.8284148443,1000001.05,999997.7981321242,10989989.34,10990003.056355797,1.09639348750658
1000276.2799999999,999418.7487079668,1000011.728,999975.9168566006,1000911,998079.3979597469,1000013.298,999971.9269551709,1000007.112,999984.9278242774,1000003.22,999993.1906258162,999988.647,1000003.6172270451,999971.335,1000014.5534895683,1000001.13,999997.620845833,10989987.085,10990004.305634761,1.1079310921672838
