household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
1000023.75,999976.1934594662,1000001.7339999999,999998.2574311835,1000060.25,999939.073721258,1000000.3099999999,999999.6845291818,1000001.199,999998.7800260009,1000000.14,999999.8575228403,1000000.291,999999.7038381695,1000000.173,999999.8239230409,1000000.0650000001,999999.9338423286,10990000.18,10989999.816789612,1.0178539708921948
1000041.75,999957.8387558947,1000119.75,999877.9018552016,1000000.6610000001,999999.3213872256,1000002.3189999999,999997.6214557892,1000003.447,999996.5071943209,1000000.2899999999,999999.7023260616,1000000.541,999999.4451663472,1000000.321,999999.6707831224,1000000.2000000001,999999.7941498682,10990000.405000001,10989999.583960319,1.0348205455297392
1000056.25,999942.8116926322,1000005.173,999994.71549823,1000180.25,999814.6983968469,1000003.5,999996.3798792565,1000001.01,999998.9544285535,1000000.35,999999.6392359649,1000000.793,999999.1801794632,1000000.471,999999.513046332,1000000.265,999999.7257957519,10990000.620000001,10989999.357859442,1.0516551698474617
1000073.5,999924.6384927136,1000239.5,999751.7613846167,1000001.35,999998.5909721219,1000006.904,999992.8883004736,1000004.484,999995.3281375603,1000000.4500000001,999999.5323321511,1000001.0210000001,999998.9364305018,1000000.635,999999.3377110253,1000000.385,999999.5974978575,10990001.010000002,10989998.940869296,1.0692486218698285
1000087.75,999909.3792150955,1000008.5929999999,999991.0766886825,1000299.5,999686.99195735,1000005.3759999999,999994.3591205814,1000002.643,999997.186012092,1000001.2999999999,999998.6085248522,1000001.473,999998.4451156993,1000000.6,999999.375756967,1000000.4700000001,999999.5051000887,10990001.475,10989998.435370162,1.087147620164938
1000103,999892.773810262,1000010.527,999988.9670167586,1000362.25,999618.0766269063,1000006.267,999993.3740293818,1000003.1499999999,999996.6253895762,1000001.5099999999,999998.376296834,1000001.173,999998.7768668713,1000000.296,999999.7119101365,1000000.5449999999,999999.4221695602,10990001.095,10989998.85553803,1.1056607347136342
1000126.25,999867.0041980008,1000010.739,999988.7314611047,1000432.2499999999,999539.7188978707,1000007.213,999992.307101678,1000003.51,999996.2193142584,1000001.68,999998.1845282507,999999.828,1000000.2939054607,999998.8679999999,1000001.3220909997,1000000.67,999999.2812418565,10989999.77,10990000.349181376,1.127119424421979
1000520.0000000001,999439.3761795281,1000010.747,999988.7223984976,1000008.104,999991.2785331792,1000003.968,999995.6905233962,1000150,999840.1674444157,1000001.8999999999,999997.9305054009,999998.144,1000002.2380290781,999995.4199999999,1000005.3005017022,1000000.73,999999.2120371619,10989997.38,10990003.105145402,1.152827116522784
1000010.773,999988.6922657785,1000174.625,999811.7038193874,1000009.0040000001,999990.2132979129,1000616.75,999326.0672022811,1000004.701,999994.822794299,1000002.36,999997.3858843908,999995.878,1000004.9203524402,999990.273,1000011.3882294532,1000000.865,999999.0524499473,10989994.305,10990006.739025941,1.181354800742654
1000206.5,999773.9172235116,1000727.7499999999,999192.4028249647,1000010.857,999988.5923398794,1000010.237,999988.7101391794,1000005.53,999993.8119245978,1000002.77,999996.8858683623,999993.448,1000007.8832011491,999983.727,1000019.3617278743,1000000.9299999999,999998.9733318884,10989992.515,10990008.917400986,1.2167290132435482
1000011.249,999988.1117602779,1000819,999079.3864681668,1000011.902,999986.6265414626,1000003.01,999996.5853907785,1000006.6479999999,999992.4124125114,999990.7220000001,1000011.2951766283,1000240.53,999732.3559267955,999976.253,1000028.7058339119,1000001.05,999998.8234294148,10989989.34,10990012.882216835,1.248317915208457
