household0,,household1,,household2,,household3,,household4,,household5,,household6,,household7,,household8,,household9,,poolPrice
ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,ETK balance,USDC balance,
1000023.75,999964.375,1000060.25,999909.625,1000001.7339999999,999997.3990000001,1000001.199,999998.2015000001,1000000.3099999999,999999.535,1000000.14,999999.79,1000000.291,999999.5635,1000000.173,999999.7405,1000000.0650000001,999999.9025,10990000.18,10989999.73,1.0222187292295284
1000003.447,999994.8295,1000119.75,999820.375,1000041.75,999937.375,1000002.3189999999,999996.5215,1000000.6610000001,999999.0085,1000000.2899999999,999999.565,1000000.541,999999.1885,1000000.2000000001,999999.7,1000000.321,999999.5185,10990000.405000001,10989999.392499998,1.0431532414624312
1000056.25,999915.625,1000180.25,999729.625,1000003.5,999994.75,1000005.173,999992.2405,1000001.01,999998.485,1000000.35,999999.475,1000000.793,999998.8105,1000000.471,999999.2934999999,1000000.265,999999.6025,10990000.620000001,10989999.07,1.0637559968816523
1000073.5,999889.75,1000006.904,999989.644,1000239.5,999640.75,1000004.484,999993.274,1000001.35,999997.975,1000000.4500000001,999999.325,1000001.0210000001,999998.4685,1000000.635,999999.0475000001,1000000.385,999999.4225,10990001.010000002,10989998.485,1.0851119679206214
1000087.75,999868.375,1000299.5,999550.75,1000005.3759999999,999991.9360000001,1000008.5929999999,999987.1105,1000002.643,999996.0355,1000001.2999999999,999998.0499999999,1000001.473,999997.7905,1000000.6,999999.0441666667,1000000.4700000001,999999.2949999999,10990001.475,10989997.7125,1.1066729261244954
1000103,999845.5,1000362.25,999456.625,1000010.527,999984.2095,1000006.267,999990.5995,1000003.1499999999,999995.275,1000001.5099999999,999997.735,1000001.173,999997.8613333333,1000000.296,999999.2468333333,1000000.5449999999,999999.1825,10990001.095,10989997.890833333,1.128881535137006
1000126.25,999810.625,1000432.2499999999,999351.625,1000007.213,999989.1805,1000010.739,999983.8915,1000001.68,999997.48,1000003.51,999994.735,999999.828,999998.758,999998.8679999999,1000000.1988333332,1000000.67,999998.995,10989999.77,10989998.774166666,1.1546321978609273
1000150,999775,1000008.104,999987.844,1000001.8999999999,999997.15,999998.144,999999.8723333334,999995.4199999999,1000002.4975,1000000.73,999998.9049999999,10989997.38,10990000.367500002,1000010.747,999983.8794999999,1000520.0000000001,999220.0000000001,1000003.968,999994.048,1.1854092798490063
1000174.625,999738.0625,1000616.75,999074.875,1000009.0040000001,999986.494,1000010.773,999983.8404999999,1000004.701,999992.9485,1000002.36,999996.46,999995.878,1000001.383,999990.273,1000005.9288333333,1000000.865,999998.7025,10989994.305,10990002.4175,1.2193825472173547
1000206.5,999690.25,1000010.857,999983.7145,1000727.7499999999,998908.375,1000010.237,999984.6444999999,1000005.53,999991.7050000001,1000002.77,999995.845,999993.448,1000002.9871666668,999983.727,1000010.2928333334,1000000.9299999999,999998.605,10989992.515,10990003.5275,1.2607970825534738
1000240.53,999639.205,1000819,998771.5,1000011.249,999983.1265,1000011.902,999982.147,1000006.6479999999,999990.028,1000003.01,999995.485,999990.7220000001,1000004.8045,999976.253,1000015.2755,1000001.05,999998.425,10989989.34,10990005.644166667,1.2976508635394104
1000276.2799999999,999585.58,1000011.728,999982.4079999999,1000911,998633.5,1000007.112,999989.3319999999,1000013.298,999980.053,1000003.22,999995.17,999988.647,1000006.1795,999971.335,1000018.5541666667,1000001.13,999998.3049999999,10989987.085,10990007.147499999,1.336906812063579
1000308.28,999537.5800000001,1000011.739,999982.3915,1001026.75,998459.875,1000014.679,999977.9815,1000003.48,999994.78,1000007.5,999988.75,999986.824,1000007.3765,999965.632,1000022.3561666666,1000001.215,999998.1775,10989984.805,10990008.6675,1.383580562734412
1000011.767,999982.3495,1000340.286,999489.571,1001197.25,998204.1250000001,1000007.888,999988.168,1000015.754,999976.369,999985.5179999999,1000008.2063333333,999960.2779999999,1000025.9255,10989982.870000001,10990009.9575,1000001.335,999997.9975,1000004.0800000001,999993.88,1.4510171191701098
1000368.2799999999,999447.58,1000011.907,999982.1395,1001331.75,998002.375,1000016.839,999974.7415,1000008.26,999987.61,1000004.6,999993.1,999955.346,1000029.2135,999984.4280000001,1000008.8505,1000001.4,999997.9,10989981.315,10990010.994166667,1.5073997430783606
